1	885	300	30
2	875	300	10
3	900	500	10
4	965	700	50
5	910	400	10
6	935	700	10
7	895	400	20
8	935	350	30
9	925	600	10
10	895	450	40
11	955	500	40
12	895	600	45
13	955	300	20
14	965	350	10
15	910	600	50
16	900	300	35
17	910	550	15
18	910	350	25
19	875	400	25
20	875	600	20
21	935	650	25
22	935	300	45
23	965	650	20
24	875	500	45
25	900	350	20
26	965	500	15
27	935	450	50
28	875	550	30
29	885	400	45
30	965	400	40
31	925	550	35
32	955	650	45
33	925	300	15
34	925	450	20
35	885	450	35
36	965	450	30
37	875	700	35
38	900	600	30
39	955	450	10
40	885	500	20
41	965	550	45
42	935	550	20
43	935	600	40
44	955	700	30
45	900	550	40
46	875	650	50
47	895	550	10
48	885	550	50
49	900	400	50
50	910	650	35
51	885	700	40
52	955	400	35
53	885	350	15
54	885	650	10
55	885	600	25
56	895	300	50
57	910	700	20
58	965	300	25
59	925	650	40
60	910	450	45
61	955	600	15
62	875	350	40
63	925	500	50
64	900	450	25
65	895	650	30
66	965	600	35
67	955	550	25
68	955	350	50
69	910	500	30
70	910	300	40
71	875	450	15
72	895	350	35
73	900	700	45
74	925	700	25
75	895	500	25
76	895	700	15
77	935	400	15
78	925	400	30
79	900	650	15
80	925	350	45
81	935	500	35
